"SG    ","LSEOPS1                         ","LSEOPRODSTRUCT                  ","CONFQTY                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","AVAIL                           ","AVAILTYPE                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","CATLGMKTGDESC                   ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","CATPUBLISH                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","FOTPUBLISH                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","INSTALLABLE                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGOR                         ","SAPASSORTMODULE                 ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","COMMENTS                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","DATAQUALITY                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","EDITORNOTE                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","INITORDERMAX                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","INVNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","MKTGNAME                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","SAPL                            ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWPRODSTRUCT                    ","SWPRODSTRUCTABRSTATUS           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WWSEO                           ","SEOID                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","WWSEO                           ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGPUB                        ","CATACTIVE                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGPUB                        ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGPUB                        ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","CATLGPUB                        ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEO                            ","AUDIEN                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEO                            ","SEOID                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEO                            ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEO                            ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEO                            ","LSEOMKTGDESC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEO                            ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEO                            ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","LSEO                            ","LANGUAGES                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","PRODSTRUCT                      ","AUDIEN                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","PRODSTRUCT                      ","CONFIGURATORFLAG                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","PRODSTRUCT                      ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","PRODSTRUCT                      ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","AUDIEN                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","COFCAT                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","COFGRP                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","COFSUBCAT                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","TYPE                            ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","INTERNALNAME                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","MODEL                           ","DESCRIPTION                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","ANNOUNCEMENT                    ","ANNDATE                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWFEATURE                       ","SWFCCAT                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWFEATURE                       ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","SWFEATURE                       ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","FEATURE                         ","FCTYPE                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","FEATURE                         ","OSLEVEL                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","FEATURE                         ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOPS1                         ","FEATURE                         ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WWSEOSWPRODSTRUCT               ","SWCONFQTY                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOPRODSTRUCT                  ","CONFQTY                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLELSEO                  ","LSEOQTY                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLELSEO                  ","LSEOSEQ                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WARR                            ","COMNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WARR                            ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WARR                            ","GENAREASELECTION                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WARR                            ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WARR                            ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WARR                            ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WARR                            ","WARRTYPE                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","WARR                            ","WARRPERIOD                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","EFFECTIVEDATE                   ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","AASVIEWABL                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","ANNCODENAME                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","AVAILTYPE                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","COMNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","GENAREASELECTION                ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","ORDERSYSNAME                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","AVAIL                           ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","CATLGMKTGDESC                   ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","CATPUBLISH                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","FOTPUBLISH                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","INSTALLABLE                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGOR                         ","SAPASSORTMODULE                 ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","COMMENTS                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","DATAQUALITY                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","EDITORNOTE                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","INITORDERMAX                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","INVNAME                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","MKTGNAME                        ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","PDHDOMAIN                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","SAPL                            ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","SWPRODSTRUCT                    ","SWPRODSTRUCTABRSTATUS           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGPUB                        ","CATACTIVE                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGPUB                        ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGPUB                        ","PUBFROM                         ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","CATLGPUB                        ","PUBTO                           ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEO                            ","LANGUAGES                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEO                            ","AUDIEN                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEO                            ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEO                            ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEO                            ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEO                            ","STATUS                          ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","COUNTRYLIST                     ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","FLFILSYSINDC                    ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","LANGUAGES                       ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
"SG    ","LSEOBPS1                   ","LSEOBUNDLE                      ","OFFCOUNTRY                      ","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000","1980-01-01-01.00.00.000000","9999-12-31-00.00.00.000000"
